REGIONAL;CODIGO UNIDAD;TIPO;APERTURA;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo muy alto;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo alto;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo medio;Riesgo psicosocial_AÑO 2025_ESTRÉS_Riesgo bajo;Riesgo psicosocial_AÑO 2025_ESTRÉS_Sin riesgo;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2025_INTRALABORALES_Sin riesgo;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2025_EXTRABORALES_Sin riesgo;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo muy alto;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo alto;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo medio;Riesgo psicosocial_AÑO 2023_ESTRÉS_Riesgo bajo;Riesgo psicosocial_AÑO 2023_ESTRÉS_Sin riesgo;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2023_INTRALABORALES_Sin riesgo;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo muy alto;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo alto;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo medio;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Riesgo bajo;Riesgo psicosocial_AÑO 2023_EXTRABORALES_Sin riesgo;Evaluación del desempeño_AÑO 2025_OBJETIVO;Evaluación del desempeño_AÑO 2025_COMPETENCIA;Evaluación del desempeño_AÑO 2025_RESULTADO;Evaluación del desempeño_AÑO 2025_INTERPRETACION;Evaluación del desempeño_AÑO 2024_OBJETIVO;Evaluación del desempeño_AÑO 2024_COMPETENCIA;Evaluación del desempeño_AÑO 2024_RESULTADO;Evaluación del desempeño_AÑO 2024_INTERPRETACION;Evaluación del desempeño_AÑO 2023_OBJETIVO;Evaluación del desempeño_AÑO 2023_COMPETENCIA;Evaluación del desempeño_AÑO 2023_RESULTADO;Evaluación del desempeño_AÑO 2023_INTERPRETACION;Evaluación del desempeño_AÑO 2022_OBJETIVO;Evaluación del desempeño_AÑO 2022_COMPETENCIA;Evaluación del desempeño_AÑO 2022_RESULTADO;Evaluación del desempeño_AÑO 2022_INTERPRETACION;Evaluación del desempeño_AÑO 2021_OBJETIVO;Evaluación del desempeño_AÑO 2021_COMPETENCIA;Evaluación del desempeño_AÑO 2021_RESULTADO;Evaluación del desempeño_AÑO 2021_INTERPRETACION;Evaluación del desempeño_AÑO 2020_OBJETIVO;Evaluación del desempeño_AÑO 2020_COMPETENCIA;Evaluación del desempeño_AÑO 2020_RESULTADO;Evaluación del desempeño_AÑO 2020_INTERPRETACION;Engagement_AÑO 2025_AMBIENTE LABORAL;Engagement_AÑO 2025_COMPROMISO;Engagement_AÑO 2025_INTERPRETACION
LLANOS ORIENTALES;A41234      ;Agencia;39569;0,454545455;0,272727273;0,272727273;0;0;0,090909091;0,090909091;0,272727273;0,363636364;0,181818182;0;0,272727273;0,363636364;0,181818182;0,181818182;0,076923077;0,230769231;0,153846154;0,384615385;0,153846154;0;0,076923077;0,153846154;0,307692308;0,461538462;0,153846154;0,076923077;0,076923077;0,307692308;0,384615385;0,846678;0,946666667;0,8766746;Alto;0,746333333;0,927777778;0,80315;Alto;0,757363636;0,938727273;0,86881;Alto;0,729666667;0,948666667;0,795366667;Alto;0,896111111;0,888734568;0,89242284;Alto;0,9195;0,917916667;0,918708333;Muy alto;0,926041667;0,958333333;Alto
LLANOS ORIENTALES;A41235      ;Agencia;37887;0,210526316;0,473684211;0,105263158;0,157894737;0,052631579;0,210526316;0,157894737;0,315789474;0,157894737;0,157894737;0,105263158;0,105263158;0,315789474;0,210526316;0,263157895;0,529411765;0,235294118;0,058823529;0,117647059;0,058823529;0,705882353;0,117647059;0,058823529;0;0,117647059;0,352941176;0,235294118;0,117647059;0,117647059;0,176470588;0,793895185;0,908730159;0,828345677;Alto;0,805888889;0,94686214;0,848177778;Alto;0,3622;0,87648;0,525795833;Bajo;0,506826923;0,566692308;0,596278846;Bajo;0,855925926;0,908024691;0,881975309;Alto;0,7832;0,817555556;0,800377778;Alto;0,783179012;0,808641975;Medio
LLANOS ORIENTALES;A41236      ;Agencia;41944;0,28125;0,28125;0,15625;0,21875;0,0625;0,28125;0,0625;0,1875;0,25;0,21875;0,15625;0,1875;0,34375;0,125;0,1875;0,176470588;0,176470588;0,117647059;0,411764706;0,117647059;0,058823529;0,117647059;0,294117647;0,294117647;0,235294118;0;0,176470588;0,294117647;0,176470588;0,352941176;0,798616429;0,863265306;0,818011092;Alto;0,587607143;0,902827381;0,687835714;Medio;0,697107143;0,824071429;0,736596429;Medio;0,624196429;0,842214286;0,689601786;Medio;0,874137931;0,898754789;0,88644636;Alto;0,715;0,784275794;0,749637897;Medio;0,803869048;0,811011905;Medio
LLANOS ORIENTALES;A41237      ;Agencia;40132;0,130434783;0,217391304;0,217391304;0,260869565;0,173913043;0,086956522;0,130434783;0,173913043;0,173913043;0,434782609;0;0,173913043;0,217391304;0,217391304;0,391304348;0,333333333;0,333333333;0;0;0,333333333;0;0,333333333;0;0,333333333;0,333333333;0;0,333333333;0;0,333333333;0,333333333;0,802184615;0,857912088;0,818902857;Alto;0,793153846;0,799038462;0,795884615;Alto;0,7146;0,80008;0,742376;Medio;0,774134615;0,798538462;0,781455769;Alto;0,906153846;0,878547009;0,892350427;Alto;0,850344828;0,824952107;0,837648467;Alto;0,915740741;0,935185185;Alto
NARIÑO;A4111       ;Regional;42036;0,458461538;0,196923077;0,129230769;0,12;0,095384615;0,218461538;0,203076923;0,24;0,178461538;0,16;0,218461538;0,227692308;0,218461538;0,150769231;0,184615385;0,176638177;0,242165242;0,239316239;0,168091168;0,173789174;0,170940171;0,213675214;0,199430199;0,245014245;0,170940171;0,176638177;0,242165242;0,239316239;0,168091168;0,173789174;0,84628;0,891984127;0,859991238;Alto;0,778333333;0,891388889;0,8131;Alto;0,758733077;0,856769231;0,833372583;Alto;0,888465625;0,837;0,873025938;Alto;0,922222222;0,896759259;0,909490741;Muy alto;0,872666667;0,861203704;0,866935185;Alto;0,9;0,944444444;Alto
NARIÑO;A411121     ;PDA;39539;0,714285714;0;0,142857143;0,142857143;0;0,285714286;0,285714286;0,142857143;0,285714286;0;0,285714286;0,285714286;0,142857143;0,142857143;0,142857143;0,5;0,2;0;0,3;0;0,2;0,3;0,2;0,3;0;0,6;0,2;0;0,2;0;0,830341818;0,850779221;0,836473039;Alto;0,898888889;0,899074074;0,898988889;Alto;0,780888889;0,828222222;0,7887;Alto;0,89105;0,8804;0,887855;Alto;0,910909091;0,887247475;0,899078283;Alto;0,933;0,920555556;0,926777778;Muy alto;0,834722222;0,865740741;Medio
NARIÑO;A411122     ;PDA;44909;0,285714286;0,285714286;0,285714286;0;0,142857143;0;0,428571429;0,142857143;0,142857143;0,285714286;0,142857143;0,285714286;0,428571429;0;0,142857143;;;;;;;;;;;;;;;;0,75228;0,814285714;0,770881714;Alto;0,825714286;0,810119048;0,8207;Alto;0,832;0,828333333;0,8315;Alto;0,63489375;0,885;0,709925625;Medio;0;0;0;Muy bajo;0;0;0;Muy bajo;0,906547619;0,916666667;Alto
NARIÑO;A4111811    ;PDA;44909;0,625;0,125;0,125;0;0,125;0,25;0,125;0,25;0,25;0,125;0,375;0,125;0,125;0,125;0,25;;;;;;;;;;;;;;;;0,861194444;0,932698413;0,882645635;Alto;0,904444444;0,975771605;0,924955556;Muy alto;0,984375;0,938;0,9704625;Muy alto;0,806721429;0,921714286;0,841219286;Alto;0;0;0;Muy bajo;0;0;0;Muy bajo;0,884583333;0,8875;Alto
NARIÑO;A411141     ;PDA;44915;0,428571429;0,285714286;0;0,142857143;0,142857143;0,142857143;0,285714286;0,285714286;0,142857143;0,142857143;0,142857143;0,142857143;0,285714286;0,285714286;0,142857143;;;;;;;;;;;;;;;;0,852992727;0,862727273;0,855913091;Alto;0,6658;0,82209596;0,721641818;Medio;0,828454545;0,876363636;0,842827273;Alto;0,737;0,9148;0,79034;Alto;0;0;0;Muy bajo;0;0;0;Muy bajo;0,793560606;0,84469697;Medio
NARIÑO;A411131     ;PDA;40238;0,333333333;0,333333333;0,333333333;0;0;0,333333333;0,166666667;0,333333333;0,083333333;0,083333333;0,166666667;0,416666667;0,25;0;0,166666667;0,375;0,0625;0,3125;0,1875;0,0625;0,3125;0,125;0,125;0,375;0,0625;0,125;0,3125;0,25;0,1875;0,125;0,902760714;0,962959184;0,920820255;Muy alto;0,892357143;0,973809524;0,916207143;Muy alto;0,875818571;0,957571429;0,904094429;Muy alto;0,71375;0,854666667;0,756025;Alto;0,84;0,87724359;0,858621795;Alto;0,93;0,919543651;0,924771825;Muy alto;0,836858974;0,881410256;Medio
NARIÑO;A411173     ;PDA;45007;0,5;0,25;0;0,25;0;0;0;0,75;0;0,25;0;0,5;0,25;0;0,25;;;;;;;;;;;;;;;;0,816666667;0,933333333;0,851666667;Alto;0,826666667;0,854166667;0,841233333;Alto;0,912;0,9004;0,90912;Muy alto;;;;;;;;;;;;;0,917857143;0,93452381;Alto
NARIÑO;A411161     ;PDA;41365;0,625;0,25;0,125;0;0;0,625;0;0,125;0,125;0,125;0,75;0,125;0,125;0;0;0,363636364;0,363636364;0,181818182;0,090909091;0;0,090909091;0,272727273;0,272727273;0,272727273;0,090909091;0,181818182;0,545454545;0,272727273;0;0;0,806201667;0,946309524;0,848234024;Alto;0,772272727;0,881565657;0,805736364;Alto;0,94875;0,96425;0,9534;Muy alto;0,905273077;0,862769231;0,892521923;Alto;0,835714286;0,85327381;0,844494048;Alto;0,867777778;0,935185185;0,901481481;Muy alto;0,896296296;0,898148148;Alto
NARIÑO;A411162     ;PDA;43718;0,333333333;0,222222222;0,222222222;0,111111111;0,111111111;0,333333333;0,111111111;0,111111111;0,333333333;0,111111111;0,111111111;0,222222222;0,111111111;0,333333333;0,222222222;0,545454545;0;0,181818182;0,181818182;0,090909091;0;0,090909091;0,272727273;0,363636364;0,272727273;0;0,090909091;0,363636364;0,181818182;0,363636364;0,849344167;0,868809524;0,855183774;Alto;0,581090909;0,842676768;0,664081818;Medio;0,855984;0,9228;0,8783988;Alto;0,8416925;0,8836;0,85426475;Alto;0,803076923;0,809401709;0,806239316;Alto;0,940714286;0,981150794;0,96093254;Muy alto;0,878787879;0,863636364;Alto
NARIÑO;A411171     ;PDA;40299;0,444444444;0,333333333;0,222222222;0;0;0,333333333;0,111111111;0,222222222;0,111111111;0,222222222;0,111111111;0,444444444;0,333333333;0,111111111;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0,857551667;0,916666667;0,875286167;Alto;0,845;0,891666667;0,8617;Alto;0,90125;0,9425;0,913625;Muy alto;0,9145875;0,899333333;0,91001125;Muy alto;0,846;0,881481481;0,863740741;Alto;0,879285714;0,827678571;0,853482143;Alto;0,897222222;0,930555556;Alto
